Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burundi,261.95847,217.60869,200.19261,157.22882,174.65433,145.98683,163.21136,246.2004,155.42688,149.19579,199.67647,226.62114,205.98769,216.88063,196.12764,193.7544,208.42976,246.89967,290.7686,309.34055,289.06625,293.8886,293.8886
Cambodia,739.4555,769.4097,754.1447,803.81635,813.56445,909.82135,967.99585,1116.1547,1152.201,1399.9335,1591.3198,1623.9176,1783.7217,1866.1189,2031.7474,2299.249,2828.744,2950.2996,3674.9282,4069.4607,3918.6375,4035.0813,4035.0813
Cameroon,1575.576,1529.8099,1467.4718,1529.6643,1551.4,1456.8976,1606.5828,1647.3816,1625.477,1695.7526,1886.1508,1931.2103,1873.3829,1600.2953,1941.542,1888.3931,1785.7306,1763.4426,1746.7549,1720.2494,1758.1206,1593.6196,1593.6196
Canada,118875.336,115218.68,117915.38,117365.12,118078.05,117744.77,115946.31,119158.6,116479.15,110665.805,110485.93,113449.32,112586.7,114051.086,113198.414,112891.76,110180.79,110509.586,110059.28,107980.76,100497.28,100738.89,102160.29
Cape Verde,2981.49,3263.9941,3492.702,3421.961,3692.0017,5685.298,5967.698,6573.914,6589.2246,6177.154,6542.746,7692.8916,6820.0537,6636.519,7077.2563,6915.403,7142.143,7489.2803,7495.767,7383.928,6949.681,7249.497,7249.497
Cayman Islands,52485.707,51350.027,51466.68,50467.51,46195.98,46092.508,45344.523,52593.047,52451.508,47302.73,46226.355,47423.246,42757.977,41230.707,40977.293,42380.68,40911.793,46465.98,42507.164,50531.71,41981.38,44166.766,44166.766
Central African Rep.,384.72043,386.3453,373.5856,342.82562,359.33325,352.1099,358.04587,349.30215,276.59943,260.59473,260.0182,279.48138,282.5135,206.79347,238.23833,297.00418,307.3053,301.66687,302.45892,299.18008,280.73853,286.1319,286.1319
Chad,124.966064,116.015,110.641914,105.11012,105.9355,109.55552,107.3414,114.514046,116.01666,122.113625,130.90942,180.9343,302.57126,302.8611,303.73856,298.34583,286.59064,446.25546,457.11847,458.18085,372.5109,361.1612,361.1612
Chile,20023.135,20184.58,20441.285,20334.662,21494.553,22090.879,22631.893,22387.78,22165.26,21051.678,21403.44,22459.62,23224.074,23629.986,23154.375,23180.021,23993.93,24517.238,25039.64,24894.514,22925.926,24462.756,25342.707
China,9334.936,9797.812,10602.087,12273.32,14272.745,16114.158,17552.816,18955.008,19560.7,20281.068,21551.547,23090.885,23873.234,24600.36,25072.023,25209.49,25164.803,25987.611,27109.42,28277.445,29133.936,30768.826,31051.48
Colombia,8011.8125,7953.855,7834.471,7863.652,8152.3345,7917.907,9024.093,9058.002,9322.767,9111.861,9474.296,9794.911,10308.172,10490.081,10938.481,10259.04,11435.303,11368.834,11332.247,11221.787,10064.389,11147.847,11746.6045
Comoros,816.7021,835.32465,823.61163,1032.1368,1111.6262,1046.9846,1194.3715,773.59,772.8585,923.4804,1074.1965,944.7761,961.3801,1122.8319,981.591,1036.3783,1189.0542,1492.4838,1593.2856,1685.7296,1578.0629,1633.7837,1633.7837
Congo,1227.4918,1451.1962,1311.9222,1459.1665,1496.1375,1950.9672,2240.8157,2657.6838,2926.5042,3411.898,4460.019,5186.757,5174.5054,6385.8984,5931.7676,5841.056,5449.973,3985.2053,3605.2744,2873.82,2379.556,2348.0115,2348.0115
Costa Rica,10699.309,10693.142,10944.455,10991.341,11161.785,11431.702,11759.994,12253.692,12241.504,11747.936,11786.667,11703.091,11673.354,11618.479,11726.931,12110.349,12301.996,12649.783,12802.764,13012.45,11486.324,11957.598,11957.598
C?te d'Ivoire,2188.067,2111.73,2001.7079,1761.555,1840.8789,1998.9595,1668.9751,1748.4128,1882.8339,1799.5533,1801.9209,1642.3796,1962.973,2129.4614,2198.2737,2129.5317,2356.6304,2288.7317,2235.9863,2360.1208,2282.348,2370.5964,2370.5964
Croatia,21227.025,22525.262,22668.963,23832.379,24877.861,24671.021,24436.512,24617.822,24549.996,24300.623,24781.908,21703.076,20222.29,22296.646,22411.172,21392.176,22428.08,22608.02,23593.492,23200.729,22304.447,24213.969,23468.168
Cuba,9883.993,9075.244,9158.403,9271.938,9365.984,9199.146,8954.739,9036.614,10330.99,10402.473,11812.895,10603.101,11529.463,11073.984,11257.336,11280.011,8800.3,9358.279,9819.157,9606.213,9007.181,9229.538,9229.538
Cyprus,31912.982,31725.172,30732.92,32076.912,30655.473,33741.973,32604.191,32579.771,32822.43,31506.953,30146.273,29451.955,27326.793,24232.332,24039.48,24580.83,26494.055,26971.416,26633.77,26442.418,22852.852,23985.012,25359.791
Czech Rep.,46362.195,47434.9,47543.316,50209.617,51439.855,50547.258,51379.383,50659.105,49488.312,47287.844,49083.73,47823.707,47515.48,46623.125,45633.582,44728.676,44110.195,46583.094,46420.684,45355.285,42025.31,44385.37,44242.15
Dem. Rep. Congo,438.73956,418.63083,417.3248,421.6945,463.92627,487.92645,498.6664,497.54398,456.02924,432.15683,462.69284,484.2046,460.75424,538.1601,622.8517,464.34442,413.59628,434.75296,444.56985,443.11774,443.81158,410.8872,410.8872
Denmark,44286.535,44250.59,44017.223,47297.21,44621.56,41866.43,46091.766,43548.508,41183.277,38827.246,41063.633,38406.094,35563.973,36936.71,35394.48,34312.848,34666.89,34656.133,34042.258,33139.277,29380.422,32148.652,32197.94
Djibouti,4762.17,4599.132,4474.387,4541.9604,4353.0415,4054.5566,3716.954,3787.3547,4150.3564,3531.1523,3942.1558,2921.8823,3784.8132,3836.7073,4183.972,3626.9648,3409.7095,3036.1372,3133.4805,2848.7866,2701.7908,2785.0718,2785.0718
Dominican Rep.,10094.044,9667.4,10064.789,9104.642,8357.8955,9065.088,8931.601,9066.198,8900.079,8679.013,8981.36,8723.768,9560.256,9002.167,8537.962,9354.642,9835.123,9591.366,10487.733,11098.332,9496.668,9987.583,9987.583
Ecuador,8246.84,8211.651,7965.1455,8014.88,8426.991,8767.223,9114.504,9420.017,9883.912,9482.964,10353.473,10805.037,11233.192,11416.987,11816.219,11610.723,11399.546,11658.197,12100.159,12160.402,10374.727,11923.518,12150.252
Egypt,7965.8477,8143.846,8202.89,8503.993,8798.149,8844.943,9136.145,9542.583,9921.167,10077.901,10258.876,10516.576,10688.419,10368.022,9999.618,9943.54,10278.024,10471.6455,10286.719,9919.544,9153.989,9639.12,9960.0625
El Salvador,4934.59,5098.644,5202.2905,5536.21,5513.2593,5701.853,6029.882,6277.061,6136.0747,5893.16,6082.846,6068.4243,6096.5063,5903.0894,6015.019,6200.172,6231.5947,6173.1143,6645.676,7271.5205,6715.608,7076.433,7076.433
Eq. Guinea,4751.2705,2574.472,37471.24,38771.44,7523.655,26154.957,30517.992,32212.723,30431.822,30738.887,28152.885,28943.424,26990.076,26720.799,24158.016,20745.453,19728.445,21365.682,18711.834,17644.693,11328.123,12399.339,12399.339
Eritrea,1086.2354,1156.5769,1019.1684,1172.7673,1226.452,1197.5035,809.80237,818.4819,569.351,670.50433,654.88983,655.3532,686.76117,691.8338,716.5409,707.84283,715.03436,778.28644,876.1487,936.4785,881.5875,914.4952,914.4952
Estonia,39722.04,41673.484,41766.36,45834.83,47047.777,47588.28,47286.48,55017.598,50750.434,43997.6,54935.6,54965.695,55555.875,58773.523,56413.82,52196.047,53774.246,59568.55,58899.945,47295.336,44218.28,46380.293,46504.863
Eswatini,6083.903,6071.866,6199.8135,5659.059,5462.625,5620.2163,5687.314,5892.16,5664.233,5503.006,5146.958,5236.0625,5162.853,5053.2617,5096.1387,5016.5044,5267.826,5553.8486,5823.5767,5780.252,5614.8906,5981.1123,5981.1123
Ethiopia,287.99124,304.5467,303.84665,319.22073,331.65744,370.1885,394.91357,424.85315,432.32028,434.64044,468.26212,514.24506,557.1035,632.63324,697.6292,715.42474,807.2398,794.97723,823.5834,921.99115,860.0999,871.5845,871.5845
Falkland Is.,37317.547,40808.36,44560.195,48378.156,52046.82,51820.35,59523.406,59577.652,61264.89,61342.887,59130.36,58597.516,60204.473,58919.254,57671.355,57968.594,59029.152,55306.21,56424.56,55487.547,46956.242,49393.32,49393.32
Faroe Is.,70296.21,76419.41,73905.16,72738.66,73795.48,71850.984,71134.164,74061.555,68445.32,63500.5,65953.414,63076.344,64413.23,70091.234,65730.33,69815.625,68590.72,76055.42,77010.266,74932.95,68466.914,70956.36,70956.36
