Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burundi,1.6523463,1.4069992,1.3310709,1.078724,1.2436265,1.0786775,1.2499043,1.9559668,1.2866411,1.2994014,1.8223697,2.14287,2.017748,2.201248,2.058344,2.078433,2.2725782,2.754312,3.3419418,3.673369,3.5324557,3.6886592,3.6886592
Cambodia,8.961346,9.49313,9.473402,10.278974,10.589662,12.052029,13.046436,15.307836,16.066174,19.817097,22.856976,23.666803,26.375269,27.991207,30.90454,35.448734,44.197952,46.705288,58.891613,65.95679,64.253365,66.93809,66.93809
Cameroon,23.77796,23.701736,23.35339,25.016626,26.078114,25.16816,28.518993,30.067791,30.521715,32.76071,37.49299,39.49109,39.40227,34.61895,43.29559,43.45693,42.342575,43.015976,43.80294,44.35206,46.57453,43.344273,43.344273
Canada,3647.4895,3572.098,3693.3928,3711.0212,3768.0676,3793.2556,3771.9497,3915.8445,3869.2676,3717.6982,3752.4795,3893.982,3905.844,3999.0525,4007.7463,4033.8618,3979.0173,4039.6055,4076.074,4051.717,3807.7117,3843.6936,3928.5051
Cape Verde,1.3662916,1.5209234,1.6528758,1.6428664,1.7964948,2.8019478,2.9772549,3.3181305,3.3627582,3.1852062,3.4102037,4.0582156,3.64107,3.583382,3.8647695,3.818471,3.9881656,4.2311363,4.2816496,4.2608,4.049204,4.2622404,4.2622404
Cayman Islands,2.0827904,2.1090996,2.1863046,2.2145648,2.0931861,2.1548247,2.1855607,2.6120863,2.6823702,2.4890697,2.5006146,2.6326067,2.4322448,2.4009466,2.4414272,2.5824666,2.547741,2.955283,2.758885,3.3427737,2.8264804,3.0102742,3.0102742
Central African Rep.,1.446231,1.4854127,1.4684358,1.3805084,1.4787087,1.4819759,1.537575,1.5284002,1.2356352,1.189496,1.211702,1.3225162,1.3485234,0.9931126,1.1432436,1.4313644,1.5070812,1.5073513,1.5409663,1.5585275,1.4999926,1.561469,1.561469
Chad,1.0321127,0.99062955,0.9778943,0.966632,1.0184119,1.0961044,1.1126602,1.2279041,1.2876309,1.403835,1.5571327,2.2286997,3.8592696,4.0028453,4.160346,4.218693,4.182099,6.732162,7.132974,7.389022,6.2003345,6.2046566,6.2046566
Chile,307.39124,313.34488,320.8014,322.48972,344.299,357.32693,369.6823,369.29858,369.30566,354.37238,363.94763,385.7118,402.74655,413.7593,409.53394,414.2298,433.90335,450.3469,468.27765,473.9787,442.47766,476.857,496.81174
China,11800.283,12470.0625,13580.49,15818.756,18509.135,21027.164,23048.367,25049.293,26019,27158.898,29055.61,31336.535,32624.225,33852.562,34729.508,35134.855,35278.277,36649.703,38415.93,40206.684,41513.812,43873.07,44275.914
